"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NC_0011749.1","NC_007941.1","NC_013175.1","NC_013655.1","NC_017630.1","NZ_CP007150.1","NZ_CP010882.1","NZ_CP012634.1","NZ_CP014493.1","NZ_CP014496.1","NZ_CP014498.1","NZ_CP014523.1","NZ_CP014668.1","NZ_CP015131.1","NZ_CP015160.1","NZ_CP018952.1"
"group_1","traI","Multifunctional conjugation protein TraI","8","8","1","1","214","1","223","","1244","5270","4719","PPNGLMBF_00074","AFBCLFAJ_00134","LBLEHJFL_00134","","","","","","DHNEMLFG_00011","EFDDGJBK_00042","","IHJENLPO_00008","CFKICFFG_00122","","LJFFEAFL_00092",""
"group_112","","hypothetical protein","8","8","1","1","506","1","301","","848","1169","1128","PPNGLMBF_00003","AFBCLFAJ_00050","","","CIDCPHMN_00091","","EMANLNOE_00097","","","","LBMCKPDB_00096","","CFKICFFG_00036","","LJFFEAFL_00003","MOLELEAL_00038"
"resA_1","","Thiol-disulfide oxidoreductase ResA","8","8","1","1","486","12","2","","194","485","448","PPNGLMBF_00040","","","","CIDCPHMN_00129","","","BOFEBHGI_00023","DHNEMLFG_00144","EFDDGJBK_00023","LBMCKPDB_00129","IHJENLPO_00131","","","LJFFEAFL_00038",""
"group_190","","hypothetical protein","8","8","1","1","526","1","253","","452","458","455","","","","EBLMJKPD_00149","CIDCPHMN_00054","CFLCBKEF_00090","","BOFEBHGI_00090","DHNEMLFG_00072","EFDDGJBK_00093","","IHJENLPO_00060","","","LJFFEAFL_00231",""
"group_313","","IS21 family transposase ISEc10","8","8","1","1","449","1","140","","755","755","755","","AFBCLFAJ_00034","LBLEHJFL_00034","EBLMJKPD_00096","CIDCPHMN_00108","CFLCBKEF_00036","","BOFEBHGI_00016","","EFDDGJBK_00016","","IHJENLPO_00111","","","",""
"group_314","","hypothetical protein","8","8","1","1","448","1","139","","1499","1499","1499","","AFBCLFAJ_00035","LBLEHJFL_00035","EBLMJKPD_00097","CIDCPHMN_00107","CFLCBKEF_00037","","BOFEBHGI_00017","","EFDDGJBK_00017","","IHJENLPO_00110","","","",""
"traI","","Multifunctional conjugation protein TraI","8","8","1","1","341","1","229","","374","5270","4046","","","","","CIDCPHMN_00006","CFLCBKEF_00139","EMANLNOE_00074","BOFEBHGI_00041","","","LBMCKPDB_00009","IHJENLPO_00009","","IFAGOEOF_00174","","MOLELEAL_00127"
"insB-2_2","","InsAB' transposase","7","7","1","1","497","1","185","","377","503","411","PPNGLMBF_00051","","","","","","EMANLNOE_00149","","DHNEMLFG_00157","","LBMCKPDB_00140","","","IFAGOEOF_00121","LJFFEAFL_00049","MOLELEAL_00142"
"group_169","","hypothetical protein","7","7","1","1","137","1","335","","590","590","590","","AFBCLFAJ_00001","LBLEHJFL_00001","","CIDCPHMN_00141","CFLCBKEF_00001","","BOFEBHGI_00036","","EFDDGJBK_00036","","","CFKICFFG_00001","","",""
"group_170","","hypothetical protein","7","7","1","1","134","1","342","","158","590","528","PPNGLMBF_00068","","","EBLMJKPD_00057","CIDCPHMN_00001","","","","DHNEMLFG_00003","","","IHJENLPO_00002","","IFAGOEOF_00167","LJFFEAFL_00086",""
"chpB","","ChpB toxin of the ChpB-ChpS toxin-antitoxin system","7","7","1","1","184","1","215","","332","332","332","PPNGLMBF_00063","","","","","","EMANLNOE_00084","","DHNEMLFG_00175","","LBMCKPDB_00251","","","IFAGOEOF_00162","LJFFEAFL_00081","MOLELEAL_00139"
"pemI","","Antitoxin PemI","7","7","1","1","183","1","214","","257","257","257","PPNGLMBF_00064","","","","","","EMANLNOE_00085","","DHNEMLFG_00176","","LBMCKPDB_00252","","","IFAGOEOF_00163","LJFFEAFL_00082","MOLELEAL_00138"
"group_270","","hypothetical protein","7","7","1","1","182","1","333","","653","653","653","PPNGLMBF_00065","","","","","","EMANLNOE_00086","","DHNEMLFG_00177","","LBMCKPDB_00253","","","IFAGOEOF_00164","LJFFEAFL_00083","MOLELEAL_00137"
"group_29","","IS66 family transposase ISEc22","7","7","1","1","455","18","1","","257","1007","364","","AFBCLFAJ_00042","","EBLMJKPD_00104","","CFLCBKEF_00044","EMANLNOE_00106","","DHNEMLFG_00116","","","","CFKICFFG_00028","IFAGOEOF_00084","",""
"group_116","","hypothetical protein","6","6","1","1","477","1","126","","236","509","463","PPNGLMBF_00031","","","EBLMJKPD_00084","","CFLCBKEF_00024","EMANLNOE_00126","","DHNEMLFG_00134","","","","","","","MOLELEAL_00021"
"group_294","","hypothetical protein","6","6","1","1","517","9","3","","473","473","473","PPNGLMBF_00129","","","EBLMJKPD_00144","","CFLCBKEF_00085","","BOFEBHGI_00095","","EFDDGJBK_00098","","IHJENLPO_00065","","","",""
"group_35","","hypothetical protein","6","6","1","1","60","10","1","","1940","2507","2034","","AFBCLFAJ_00008","LBLEHJFL_00008","EBLMJKPD_00069","CIDCPHMN_00134","","","BOFEBHGI_00029","","EFDDGJBK_00029","","","","","",""
"insO-1_1","","CP4-6 prophage; partial transposase of insertion element IS911A, interrupted by insertion of IS30 element","6","6","1","1","474","1","147","","479","479","479","PPNGLMBF_00018","","","","","","EMANLNOE_00112","","DHNEMLFG_00122","","LBMCKPDB_00110","","","IFAGOEOF_00090","","MOLELEAL_00007"
"group_262","","hypothetical protein","5","5","1","1","496","1","184","","215","215","215","PPNGLMBF_00050","","","","","","EMANLNOE_00145","","DHNEMLFG_00156","","","","","IFAGOEOF_00120","LJFFEAFL_00048",""
"group_326","","hypothetical protein","5","5","1","1","67","1","133","","182","182","182","","","","EBLMJKPD_00088","CIDCPHMN_00116","CFLCBKEF_00028","EMANLNOE_00122","","","","","","","","","MOLELEAL_00017"
"group_362","","hypothetical protein","5","5","1","1","351","1","216","","1310","1310","1310","","","","","","","EMANLNOE_00083","","DHNEMLFG_00174","","LBMCKPDB_00250","","","","LJFFEAFL_00080","MOLELEAL_00140"
"group_37","tpd","hypothetical protein","5","5","1","1","491","10","4","","527","1940","1657","PPNGLMBF_00046","","","","","","","","","","LBMCKPDB_00135","","","IFAGOEOF_00116","LJFFEAFL_00044","MOLELEAL_00147"
"group_54","","hypothetical protein","5","5","1","1","75","1","131","","260","566","339","PPNGLMBF_00027","","","","","CFLCBKEF_00029","EMANLNOE_00121","","","","","","","","LJFFEAFL_00026","MOLELEAL_00016"
"tetD","","hypothetical protein","5","5","1","1","435","1","206","","416","995","749","PPNGLMBF_00053","","","","","","EMANLNOE_00009","","","","LBMCKPDB_00077","","","IFAGOEOF_00122","","MOLELEAL_00060"
"group_94","","hypothetical protein","5","5","1","1","473","1","146","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","251","371","342","","","","EBLMJKPD_00098","CIDCPHMN_00105","","EMANLNOE_00111","","DHNEMLFG_00121","","","","","IFAGOEOF_00089","",""
"tap_1","","Multidrug efflux pump Tap","4","4","1","1","372","1","169","","650","1238","1091","","","","","","","","","DHNEMLFG_00169","","LBMCKPDB_00153","","","IFAGOEOF_00136","LJFFEAFL_00060",""
"pndA","","hypothetical protein","4","4","1","1","178","1","352","","149","191","180","","","","","","","EMANLNOE_00091","","","","LBMCKPDB_00002","","","","LJFFEAFL_00173","MOLELEAL_00134"
"traN_1","","Mating pair stabilization protein TraN","4","4","1","1","319","2","3","","89","1850","782","","","","","CIDCPHMN_00020","","","","","EFDDGJBK_00058","","IHJENLPO_00025","CFKICFFG_00106","","",""
"group_217","","hypothetical protein","4","4","1","1","370","1","170","","584","584","584","","","","","","","","","DHNEMLFG_00168","","LBMCKPDB_00152","","","IFAGOEOF_00135","LJFFEAFL_00059",""
"group_223","","hypothetical protein","4","4","1","1","405","1","168","","905","920","908","","","","","","","","","DHNEMLFG_00171","","LBMCKPDB_00154","","","IFAGOEOF_00137","LJFFEAFL_00061",""
"group_254","","hypothetical protein","4","4","1","1","77","1","135","","137","137","137","PPNGLMBF_00025","","","","","","EMANLNOE_00119","","","","","","","IFAGOEOF_00097","","MOLELEAL_00014"
"group_300","","hypothetical protein","4","4","1","1","508","1","304","","311","311","311","PPNGLMBF_00137","","","EBLMJKPD_00135","","CFLCBKEF_00077","","","","","","","","","LJFFEAFL_00244",""
"group_315","insO-1_2","CP4-6 prophage; partial transposase of insertion element IS911A, interrupted by insertion of IS30 element","4","4","1","1","447","1","138","","281","281","281","","AFBCLFAJ_00036","LBLEHJFL_00036","","","CFLCBKEF_00038","","BOFEBHGI_00018","","","","","","","",""
"group_319","","hypothetical protein","4","4","1","1","347","1","4","","425","425","425","","","","EBLMJKPD_00046","","","EMANLNOE_00078","","","","LBMCKPDB_00005","","","","","MOLELEAL_00131"
"group_321","","hypothetical protein","4","4","1","1","348","1","5","","350","350","350","","","","EBLMJKPD_00047","","","EMANLNOE_00079","","","","LBMCKPDB_00004","","","","","MOLELEAL_00132"
"bla","","Beta-lactamase TEM","4","4","1","1","352","1","217","","860","860","860","","","","","","","EMANLNOE_00082","","DHNEMLFG_00173","","LBMCKPDB_00249","","","","LJFFEAFL_00079",""
"group_41","","hypothetical protein","4","4","1","1","218","3","3","","512","2822","2244","","AFBCLFAJ_00128","","EBLMJKPD_00041","","","","","","","","IHJENLPO_00015","CFKICFFG_00116","","",""
"group_44","","hypothetical protein","4","4","1","1","330","3","12","","500","1373","1154","","","","","","","EMANLNOE_00068","","","EFDDGJBK_00048","LBMCKPDB_00015","","","","","MOLELEAL_00121"
"group_489","","IS6 family transposase IS15","4","4","1","1","350","1","218","","704","704","704","","","","","","","EMANLNOE_00081","","","","LBMCKPDB_00248","","","","LJFFEAFL_00078","MOLELEAL_00141"
"group_64","xerC_1","Tyrosine recombinase XerC","4","4","1","1","429","1","283","","503","806","730","","","","","CIDCPHMN_00081","","EMANLNOE_00012","","","","LBMCKPDB_00074","","","","","MOLELEAL_00063"
"group_66","","IS66 family transposase ISEc23","4","4","1","1","349","1","231","","452","1613","1322","","","","EBLMJKPD_00048","","","EMANLNOE_00080","","","","LBMCKPDB_00003","","","","","MOLELEAL_00133"
"group_95","","hypothetical protein","4","4","1","1","471","1","143","","347","371","362","","AFBCLFAJ_00037","","EBLMJKPD_00099","","CFLCBKEF_00039","","","","","","","CFKICFFG_00023","","",""
"insB-1_2","","IS1 protein InsB","3","3","1","1","324","2","8","","503","503","503","","","","","","","EMANLNOE_00062","","","","LBMCKPDB_00021","","","","","MOLELEAL_00115"
"group_122","","hypothetical protein","3","3","1","1","336","3","16","","164","479","374","","","","","CIDCPHMN_00010","","","","DHNEMLFG_00022","","","","","IFAGOEOF_00178","",""
"insB-1_1","","IS1 protein InsB","3","3","1","1","420","1","204","","503","503","503","","","","","","","EMANLNOE_00007","","","","LBMCKPDB_00078","","","","","MOLELEAL_00058"
"srpC","","putative chromate transport protein","3","3","1","1","365","1","173","","1205","1205","1205","","","","","","","","","DHNEMLFG_00165","","LBMCKPDB_00148","","","","LJFFEAFL_00056",""
"group_16","traD","Coupling protein TraD","3","3","1","1","216","1","230","","1940","2252","2112","","","","EBLMJKPD_00049","CIDCPHMN_00007","","","","","","","","","IFAGOEOF_00175","",""
"insH-6","","CP4-44 prophage; IS5 transposase and trans-activator","3","3","1","1","42","1","194","","980","980","980","","","","","","","EMANLNOE_00001","","","","LBMCKPDB_00088","","","","","MOLELEAL_00048"
"group_201","","hypothetical protein","3","3","1","1","3","1","247","","236","260","244","","AFBCLFAJ_00085","LBLEHJFL_00085","","","","","","","","","","CFKICFFG_00071","","",""
"group_203","","hypothetical protein","3","3","1","1","2","1","256","","224","236","232","","","","","","","EMANLNOE_00031","","","","LBMCKPDB_00058","","","","","MOLELEAL_00080"
"group_204","ssb","ssDNA-binding protein","3","3","1","1","264","1","258","","452","539","510","","","","","","","EMANLNOE_00032","","","","LBMCKPDB_00057","","","","","MOLELEAL_00082"
"group_205","ykfF","CP4-6 prophage; predicted protein","3","3","1","1","265","1","259","","233","233","233","","","","","","","EMANLNOE_00033","","","","","","","","LJFFEAFL_00139","MOLELEAL_00083"
"group_206","traJ","Protein TraJ","3","3","1","1","281","21","3","","377","677","577","","","","","","","EMANLNOE_00043","","","","LBMCKPDB_00043","","","","","MOLELEAL_00093"
"mmuM","","homocysteine methyltransferase","3","3","1","1","499","1","192","","344","932","736","","","","","","","EMANLNOE_00150","","","","LBMCKPDB_00090","","","","","MOLELEAL_00046"
"group_209","xerC_2","Tyrosine recombinase XerC","3","3","1","1","51","1","178","","761","761","761","","","","","","","","","DHNEMLFG_00159","","LBMCKPDB_00142","","","","LJFFEAFL_00051",""
"ant1","","Streptomycin 3''-adenylyltransferase","3","3","1","1","49","1","176","","788","788","788","","","","","","","","","DHNEMLFG_00161","","LBMCKPDB_00144","","","","LJFFEAFL_00053",""
"group_260","","hypothetical protein","3","3","1","1","440","1","211","","215","215","215","PPNGLMBF_00060","","","","","","","","","","","","","IFAGOEOF_00127","LJFFEAFL_00022",""
"group_297","yhdJ","DNA adenine methyltransferase","3","3","1","1","25","1","274","","683","683","683","","","","EBLMJKPD_00136","","CFLCBKEF_00078","","","","","","","","","LJFFEAFL_00154",""
"group_331","","hypothetical protein","3","3","1","1","412","1","195","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","317","317","317","","","","","","","EMANLNOE_00002","","","","LBMCKPDB_00087","","","","","MOLELEAL_00049"
"group_332","","hypothetical protein","3","3","1","1","413","1","197","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","359","359","359","","","","","","","EMANLNOE_00003","","","","LBMCKPDB_00085","","","","","MOLELEAL_00051"
"group_333","","hypothetical protein","3","3","1","1","414","1","198","","179","179","179","","","","","","","EMANLNOE_00004","","","","LBMCKPDB_00084","","","","","MOLELEAL_00052"
"group_334","","hypothetical protein","3","3","1","1","415","1","199","","380","380","380","","","","","","","EMANLNOE_00005","","","","LBMCKPDB_00083","","","","","MOLELEAL_00053"
"group_335","","hypothetical protein","3","3","1","1","418","1","201","","221","221","221","","","","","","","EMANLNOE_00006","","","","LBMCKPDB_00082","","","","","MOLELEAL_00054"
"group_337","","hypothetical protein","3","3","1","1","426","1","284","","137","137","137","","","","","","","EMANLNOE_00013","","","","LBMCKPDB_00073","","","","","MOLELEAL_00064"
"repE","","Replication initiation protein","3","3","1","1","424","1","285","","755","755","755","","","","","","","EMANLNOE_00015","","","","LBMCKPDB_00072","","","","","MOLELEAL_00065"
"group_340","","hypothetical protein","3","3","1","1","423","1","286","","1166","1166","1166","","","","","","","EMANLNOE_00016","","","","LBMCKPDB_00071","","","","","MOLELEAL_00066"
"sopB","","Protein SopB","3","3","1","1","422","1","287","","971","971","971","","","","","","","EMANLNOE_00017","","","","LBMCKPDB_00070","","","","","MOLELEAL_00067"
"group_342","","hypothetical protein","3","3","1","1","4","1","288","","926","926","926","","","","","","","EMANLNOE_00018","","","","LBMCKPDB_00069","","","","","MOLELEAL_00068"
"group_344","yhdJ","DNA adenine methyltransferase","3","3","1","1","6","1","290","","683","683","683","","","","","","","EMANLNOE_00020","","","","LBMCKPDB_00068","","","","","MOLELEAL_00070"
"group_345","","hypothetical protein","3","3","1","1","512","1","292","","434","434","434","","","","","","","EMANLNOE_00022","","","","LBMCKPDB_00066","","","","","MOLELEAL_00072"
"group_346","","hypothetical protein","3","3","1","1","513","1","291","","827","827","827","","","","","","","EMANLNOE_00023","","","","LBMCKPDB_00065","","","","","MOLELEAL_00073"
"insJ","","IS150 protein InsA","3","3","1","1","251","4","8","","521","521","521","","","","","","","EMANLNOE_00037","","","","LBMCKPDB_00051","","","","","MOLELEAL_00087"
"insJK","","IS150 protein InsAB","3","3","1","1","274","4","7","","851","851","851","","","","","","","EMANLNOE_00038","","","","LBMCKPDB_00050","","","","","MOLELEAL_00088"
"group_349","traM","Relaxosome protein TraM","3","3","1","1","280","21","2","","383","383","383","","","","","","","EMANLNOE_00042","","","","LBMCKPDB_00045","","","","","MOLELEAL_00092"
"group_350","traA","Pilin","3","3","1","1","283","22","1","","362","362","362","","","","","","","EMANLNOE_00045","","","","LBMCKPDB_00041","","","","","MOLELEAL_00095"
"group_351","","hypothetical protein","3","3","1","1","289","20","3","","566","566","566","","","","","","","EMANLNOE_00050","","","","LBMCKPDB_00036","","","","","MOLELEAL_00100"
"group_352","","hypothetical protein","3","3","1","1","290","20","2","","359","359","359","","","","","","","EMANLNOE_00051","","","","LBMCKPDB_00035","","","","","MOLELEAL_00101"
"group_353","traV","Protein TraV","3","3","1","1","291","20","1","","515","515","515","","","","","","","EMANLNOE_00052","","","","LBMCKPDB_00034","","","","","MOLELEAL_00102"
"group_354","","hypothetical protein","3","3","1","1","293","6","3","","104","104","104","","","","","","","EMANLNOE_00054","","","","LBMCKPDB_00032","","","","","MOLELEAL_00104"
"group_355","","hypothetical protein","3","3","1","1","317","2","5","","638","638","638","","","","","","","EMANLNOE_00060","","","","LBMCKPDB_00026","","","","","MOLELEAL_00110"
"group_356","","hypothetical protein","3","3","1","1","325","2","7","","320","320","320","","","","","","","EMANLNOE_00063","","","","LBMCKPDB_00020","","","","","MOLELEAL_00116"
"group_357","","hypothetical protein","3","3","1","1","328","3","10","","287","287","287","","","","","","","EMANLNOE_00066","","","","LBMCKPDB_00017","","","","","MOLELEAL_00119"
"group_358","","hypothetical protein","3","3","1","1","329","3","11","","392","395","394","","","","","","","EMANLNOE_00067","","","","LBMCKPDB_00016","","","","","MOLELEAL_00120"
"group_359","","hypothetical protein","3","3","1","1","334","3","1","","491","491","491","","","","","","","EMANLNOE_00070","","","","LBMCKPDB_00013","","","","","MOLELEAL_00123"
"group_365","","hypothetical protein","3","3","1","1","179","1","346","","254","254","254","","","","","","","EMANLNOE_00090","","","","LBMCKPDB_00001","","","","","MOLELEAL_00135"
"group_376","","hypothetical protein","3","3","1","1","50","1","177","","599","599","599","","","","","","","","","DHNEMLFG_00160","","LBMCKPDB_00143","","","","LJFFEAFL_00052",""
"emrE","","multidrug efflux transporter EmrE","3","3","1","1","48","1","175","","347","347","347","","","","","","","","","DHNEMLFG_00162","","LBMCKPDB_00145","","","","LJFFEAFL_00054",""
"group_383","","Transcriptional regulator","3","3","1","1","366","1","172","","305","305","305","","","","","","","","","DHNEMLFG_00166","","LBMCKPDB_00149","","","","LJFFEAFL_00057",""
"group_387","","IS6 family transposase IS6100","3","3","1","1","367","1","171","","764","764","764","","","","","","","","","DHNEMLFG_00167","","LBMCKPDB_00150","","","","LJFFEAFL_00058",""
"group_491","","IS6 family transposase IS15","3","3","1","1","52","1","179","","704","704","704","","","","","","","","","DHNEMLFG_00158","","LBMCKPDB_00141","","","","LJFFEAFL_00050",""
"group_503","insO-1_2","CP4-6 prophage; partial transposase of insertion element IS911A, interrupted by insertion of IS30 element","3","3","1","1","450","1","122","","479","479","479","","","","","","","","","","","","","CFKICFFG_00022","","LJFFEAFL_00017","MOLELEAL_00024"
"group_513","","IS6 family transposase IS26","3","3","1","1","406","1","167","","704","704","704","","","","","","","","","DHNEMLFG_00172","","LBMCKPDB_00155","","","IFAGOEOF_00132","",""
"folP_1","","dihydropteroate synthase","3","3","1","1","47","1","174","","839","839","839","","","","","","","","","DHNEMLFG_00163","","LBMCKPDB_00146","","","","LJFFEAFL_00055",""
"insAB-1_2","","InsAB' transposase","3","3","1","1","441","1","153","","377","377","377","PPNGLMBF_00059","","","","","","","","","","","","","IFAGOEOF_00128","LJFFEAFL_00023",""
"insAB-1_3","","InsAB' transposase","2","2","1","1","186","1","212","","377","377","377","PPNGLMBF_00061","","","","","","","","","","","","","IFAGOEOF_00160","",""
"neo_1","","Aminoglycoside 3'-phosphotransferase","2","2","1","1","360","1","79","","803","803","803","","","","","","","","","","","LBMCKPDB_00158","","","","LJFFEAFL_00064",""
"group_108","","hypothetical protein","2","2","1","1","119","1","83","","698","782","740","","","","","","","","","","","LBMCKPDB_00237","","","","LJFFEAFL_00068",""
"group_120","","hypothetical protein","2","2","1","1","490","10","3","","326","1379","852","","","","","","CFLCBKEF_00010","","","","","","","","","","MOLELEAL_00148"
"insB-2_1","","IS1 protein InsB","2","2","1","1","501","1","190","","503","503","503","","","","","","","","","","","LBMCKPDB_00092","","","","","MOLELEAL_00044"
"folP_2","","dihydropteroate synthase","2","2","1","1","361","1","55","","791","815","803","","","","","","","","","","","LBMCKPDB_00157","","","","LJFFEAFL_00063",""
"tetA_4","","Tetracycline resistance protein, class C","2","2","1","1","118","1","82","","1199","1199","1199","","","","","","","","","","","LBMCKPDB_00236","","","","LJFFEAFL_00067",""
"group_168","","hypothetical protein","2","2","1","1","439","1","210","","248","623","435","PPNGLMBF_00057","","","","","","","","","","","","","IFAGOEOF_00126","",""
"insH-5","","Rac prophage; IS5 transposase and trans-activator","2","2","1","1","226","2","9","","980","980","980","","","","","","","","","","","LBMCKPDB_00022","","","","","MOLELEAL_00114"
"traI_2","","Multifunctional conjugation protein TraI","2","2","1","1","211","1","225","","1769","5270","3519","","","","EBLMJKPD_00050","","","","","DHNEMLFG_00013","","","","","","",""
"group_202","","hypothetical protein","2","2","1","1","518","9","1","","500","521","510","","","","","CIDCPHMN_00058","","","","DHNEMLFG_00077","","","","","","",""
"hsdR","","Type I restriction enzyme EcoR124II R protein","2","2","1","1","419","1","203","","1262","3116","2189","","","","","","","","","","","LBMCKPDB_00079","","","","","MOLELEAL_00057"
"group_233","","hypothetical protein","2","2","1","1","369","1","158","","218","356","287","","","","","","","","","","","LBMCKPDB_00151","","","IFAGOEOF_00134","",""
"tetR_4","","Tetracycline repressor protein class A from transposon 1721","2","2","1","1","117","1","81","","653","653","653","","","","","","","","","","","LBMCKPDB_00235","","","","LJFFEAFL_00066",""
"group_241","","hypothetical protein","2","2","1","1","114","1","80","","836","845","840","","","","","","","","","","","LBMCKPDB_00182","","","","LJFFEAFL_00065",""
"yokD","","SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD","2","2","1","1","205","1","107","","692","860","776","","","","","","","","","","","LBMCKPDB_00247","","","","LJFFEAFL_00077",""
"group_246","","hypothetical protein","2","2","1","1","195","1","97","","437","1268","852","","","","","","","","","","","","","","IFAGOEOF_00151","LJFFEAFL_00069",""
"group_249","","hypothetical protein","2","2","1","1","452","1","141","","113","113","113","PPNGLMBF_00017","","","","CIDCPHMN_00104","","","","","","","","","","",""
"group_250","","hypothetical protein","2","2","1","1","65","1","117","","113","113","113","PPNGLMBF_00035","","","","CIDCPHMN_00124","","","","","","","","","","",""
"group_259","","IS3 family transposase IS629","2","2","1","1","476","1","121","","275","275","275","PPNGLMBF_00033","","","","","","","","DHNEMLFG_00136","","","","","","",""
"group_261","","hypothetical protein","2","2","1","1","185","1","213","","215","215","215","PPNGLMBF_00062","","","","","","","","","","","","","IFAGOEOF_00161","",""
"tetC","","Transposon Tn10 TetC protein","2","2","1","1","436","1","207","","668","668","668","PPNGLMBF_00054","","","","","","","","","","","","","IFAGOEOF_00123","",""
"tetA","","Tetracycline resistance protein, class B","2","2","1","1","437","1","208","","1205","1205","1205","PPNGLMBF_00055","","","","","","","","","","","","","IFAGOEOF_00124","",""
"tetR","","Tetracycline repressor protein class B from transposon Tn10","2","2","1","1","438","1","209","","623","623","623","PPNGLMBF_00056","","","","","","","","","","","","","IFAGOEOF_00125","",""
"group_27","","IS66 family transposase ISEc22","2","2","1","1","454","29","1","","257","257","257","","","","","","","","","","","","","","","LJFFEAFL_00012","MOLELEAL_00029"
"group_28","","IS66 family transposase ISEc22","2","2","1","1","467","27","1","","257","257","257","PPNGLMBF_00012","","","","CIDCPHMN_00099","","","","","","","","","","",""
"group_30","","hypothetical protein","2","2","1","1","475","1","119","","935","1523","1229","","","","","","","","BOFEBHGI_00001","","EFDDGJBK_00001","","","","","",""
"group_316","","hypothetical protein","2","2","1","1","332","3","2","","194","194","194","","AFBCLFAJ_00129","","","","","","","","","","","CFKICFFG_00117","","",""
"group_323","","hypothetical protein","2","2","1","1","343","1","338","","212","212","212","","","","EBLMJKPD_00054","","","","","","","","","","IFAGOEOF_00170","",""
"group_327","","hypothetical protein","2","2","1","1","266","1","248","","356","356","356","","","","EBLMJKPD_00152","","","","","","","","IHJENLPO_00057","","","",""
"group_336","","hypothetical protein","2","2","1","1","421","1","205","","893","893","893","","","","","","","EMANLNOE_00008","","","","","","","","","MOLELEAL_00059"
"group_343","","hypothetical protein","2","2","1","1","5","1","289","","311","311","311","","","","","","","EMANLNOE_00019","","","","","","","","","MOLELEAL_00069"
"group_360","","hypothetical protein","2","2","1","1","346","1","3","","212","212","212","","","","","","","EMANLNOE_00077","","","","","","","","","MOLELEAL_00130"
"group_364","","hypothetical protein","2","2","1","1","181","1","332","","167","167","167","","","","","","","EMANLNOE_00088","","","","LBMCKPDB_00254","","","","",""
"group_373","","hypothetical protein","2","2","1","1","527","1","252","","542","542","542","","","","","","","","","DHNEMLFG_00073","EFDDGJBK_00094","","","","","",""
"group_375","","hypothetical protein","2","2","1","1","494","1","180","","152","152","152","","","","","","","","","DHNEMLFG_00155","","LBMCKPDB_00139","","","","",""
"group_390","","hypothetical protein","2","2","1","1","66","1","137","","266","266","266","","","","","","","","","","EFDDGJBK_00018","","IHJENLPO_00126","","","",""
"group_391","","hypothetical protein","2","2","1","1","322","2","1","","257","257","257","","","","","","","","","","","LBMCKPDB_00024","","","","","MOLELEAL_00112"
"group_394","","hypothetical protein","2","2","1","1","416","1","202","","1271","1283","1277","","","","","","","","","","","LBMCKPDB_00080","","","","","MOLELEAL_00056"
"group_395","","hypothetical protein","2","2","1","1","417","1","200","","1556","1556","1556","","","","","","","","","","","LBMCKPDB_00081","","","","","MOLELEAL_00055"
"insF-1_2","","IS3 element protein InsF","2","2","1","1","411","1","196","","374","374","374","","","","","","","","","","","LBMCKPDB_00086","","","","","MOLELEAL_00050"
"mmuP","","S-methyl-L-methionine transporter","2","2","1","1","43","1","193","","1427","1427","1427","","","","","","","","","","","LBMCKPDB_00089","","","","","MOLELEAL_00047"
"group_412","","IS1182 family transposase ISCfr1","2","2","1","1","197","1","99","","1046","1046","1046","","","","","","","","","","","LBMCKPDB_00239","","","","LJFFEAFL_00071",""
"group_413","","hypothetical protein","2","2","1","1","200","1","100","","1136","1136","1136","","","","","","","","","","","LBMCKPDB_00240","","","","LJFFEAFL_00072",""
"group_416","","hypothetical protein","2","2","1","1","203","1","105","","164","164","164","","","","","","","","","","","LBMCKPDB_00245","","","","LJFFEAFL_00075",""
"group_46","","hypothetical protein","2","2","1","1","220","3","8","","647","1373","1010","","","","","","","","","DHNEMLFG_00027","","","","","IFAGOEOF_00002","",""
"group_493","","IS6 family transposase IS15","2","2","1","1","196","1","98","","704","704","704","","","","","","","","","","","LBMCKPDB_00238","","","","LJFFEAFL_00070",""
"group_494","","IS6 family transposase IS15","2","2","1","1","201","1","103","","704","704","704","","","","","","","","","","","LBMCKPDB_00243","","","","LJFFEAFL_00073",""
"traI_4","","Multifunctional conjugation protein TraI","2","2","1","1","208","1","228","","275","4895","2585","","","","","","","","","DHNEMLFG_00016","","LBMCKPDB_00008","","","","",""
"group_518","","IS6 family transposase IS26","2","2","1","1","403","1","165","","704","704","704","","","","","","","","","","","LBMCKPDB_00230","","","","LJFFEAFL_00062",""
"group_526","","hypothetical protein","2","2","1","1","314","1","382","","632","632","632","","","","","","","","","DHNEMLFG_00041","","","","","","LJFFEAFL_00111",""
"group_53","","hypothetical protein","2","2","1","1","70","1","129","","260","290","275","","","","","","","","","","","LBMCKPDB_00118","","","IFAGOEOF_00098","",""
"group_63","","hypothetical protein","2","2","1","1","516","13","2","","140","422","281","","","","","","","","BOFEBHGI_00097","DHNEMLFG_00079","","","","","","",""
