Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	O Antigen	H Antigen
ESC_KA6626AA	Dan_58 (729-270514-x-12 salp EC)	traces-0AKFURM;ILLUMINA;Paired;;NA	Poultry	Poultry		2014												IVS, University of Copenhagen														2018-11-30	2019-06-04	ESC_KA6626AA	O2	H5
ESC_KA6637AA	Dan_69 (722-041014-2-7 salp EC)	traces-0avjZlP;ILLUMINA;Paired;;NA	Poultry	Poultry		2014												IVS, University of Copenhagen														2018-11-30	2019-06-04	ESC_KA6637AA	O2	H5
ESC_KA6638AA	Dan_70 (722-041114-2-4 salp EC)	traces-0DRHNJo;ILLUMINA;Paired;;NA	Poultry	Poultry		2014												IVS, University of Copenhagen														2018-11-30	2019-06-04	ESC_KA6638AA	O2	H5
ESC_KA6639AA	Dan_71 (722-221014-1-9 salp EC)	traces-0vuOWgu;ILLUMINA;Paired;;NA	Poultry	Poultry		2014												IVS, University of Copenhagen														2018-11-30	2019-06-04	ESC_KA6639AA	O2	H5
ESC_KA6645AA	Dan_77 (723-270614-3-10 salp EC)	traces-0dWttet;ILLUMINA;Paired;;NA	Poultry	Poultry		2014												IVS, University of Copenhagen														2018-11-30	2019-06-04	ESC_KA6645AA	O2	H5
ESC_KA6646AA	Dan_78 (723-140814-4-11 salp EC)	traces-0clLUgx;ILLUMINA;Paired;;NA	Poultry	Poultry		2014												IVS, University of Copenhagen														2018-11-30	2019-06-04	ESC_KA6646AA	O2	H5
ESC_KA6668AA	Dan_85 (729-021214-2-6 salp EC)	traces-0cmjXsb;ILLUMINA;Paired;;NA	Poultry	Poultry		2014												IVS, University of Copenhagen														2018-12-01	2019-06-05	ESC_KA6668AA	O2	H5
ESC_KA6669AA	Dan_86 (729-270514-x-12 lever EC)	traces-0MwUoQj;ILLUMINA;Paired;;NA	Poultry	Poultry		2014												IVS, University of Copenhagen														2018-12-01	2019-06-05	ESC_KA6669AA	O2	H5
ESC_KA6670AA	Dan_87 (729-221014-1-5 salp EC)	traces-0UZvjfX;ILLUMINA;Paired;;NA	Poultry	Poultry		2014												IVS, University of Copenhagen														2018-12-01	2019-06-05	ESC_KA6670AA	O2	H5
ESC_KA6678AA	644133	SRR8269012;ILLUMINA;Paired;;SRX5085872	Environment	ND/Others	environmental	2018	11			Europe	United Kingdom							Public Health England	Escherichia coli		Escherichia Coli						PRJNA315192	SRP071789		SAMN10506009	SRS4098281	2018-12-02	2018-12-01	ESC_KA6678AA	O1	H7
ESC_KA6702AA		ERR2910154;ILLUMINA;Paired;448;ERX2913314																Wellcome Sanger Institute	Escherichia coli								PRJEB22191	ERP024535		SAMEA104283604	ERS1908582	2018-12-02	2018-11-23	ESC_KA6702AA	O1	H7
ESC_KA6712AA		ERR2910144;ILLUMINA;Paired;478;ERX2913304																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305632	ERS1930610	2018-12-02	2018-11-23	ESC_KA6712AA	O2	H4
ESC_KA6713AA		ERR2910143;ILLUMINA;Paired;466;ERX2913303																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305631	ERS1930609	2018-12-02	2018-11-23	ESC_KA6713AA	O1	H7
ESC_KA6714AA		ERR2910142;ILLUMINA;Paired;469;ERX2913302																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305630	ERS1930608	2018-12-02	2018-11-23	ESC_KA6714AA	O1	H7
ESC_KA6716AA		ERR2910140;ILLUMINA;Paired;453;ERX2913300																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305628	ERS1930606	2018-12-02	2018-11-23	ESC_KA6716AA	O2	H7
ESC_KA6728AA		ERR2910128;ILLUMINA;Paired;450;ERX2913288																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305616	ERS1930594	2018-12-02	2018-11-23	ESC_KA6728AA	O18	H7
ESC_KA6729AA		ERR2910127;ILLUMINA;Paired;453;ERX2913287																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305615	ERS1930593	2018-12-02	2018-11-23	ESC_KA6729AA	O2	H4
ESC_KA6730AA		ERR2910126;ILLUMINA;Paired;458;ERX2913286																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305614	ERS1930592	2018-12-02	2018-11-23	ESC_KA6730AA	O2	H4
ESC_KA6731AA		ERR2910125;ILLUMINA;Paired;458;ERX2913285																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305613	ERS1930591	2018-12-02	2018-11-23	ESC_KA6731AA	O1	H7
ESC_KA6732AA		ERR2910124;ILLUMINA;Paired;451;ERX2913284																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305612	ERS1930590	2018-12-02	2018-11-23	ESC_KA6732AA	O2	H4
ESC_KA6733AA		ERR2910123;ILLUMINA;Paired;449;ERX2913283																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305611	ERS1930589	2018-12-02	2018-11-23	ESC_KA6733AA	O1	H7
ESC_KA6734AA		ERR2910122;ILLUMINA;Paired;461;ERX2913282																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305610	ERS1930588	2018-12-02	2018-11-23	ESC_KA6734AA	O2	H4
ESC_KA6736AA		ERR2910120;ILLUMINA;Paired;469;ERX2913280																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305608	ERS1930586	2018-12-02	2018-11-23	ESC_KA6736AA	O1	H7
ESC_KA6738AA		ERR2910118;ILLUMINA;Paired;474;ERX2913278																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305606	ERS1930584	2018-12-02	2018-11-23	ESC_KA6738AA	O1	H7
ESC_KA6739AA		ERR2910117;ILLUMINA;Paired;458;ERX2913277																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305605	ERS1930583	2018-12-02	2018-11-23	ESC_KA6739AA	O1	H7
ESC_KA6740AA		ERR2910116;ILLUMINA;Paired;455;ERX2913276																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305604	ERS1930582	2018-12-02	2018-11-23	ESC_KA6740AA	O45	H7
ESC_KA6741AA		ERR2910115;ILLUMINA;Paired;457;ERX2913275																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305603	ERS1930581	2018-12-02	2018-11-23	ESC_KA6741AA	O1	H7
ESC_KA6742AA		ERR2910114;ILLUMINA;Paired;458;ERX2913274																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305602	ERS1930580	2018-12-02	2018-11-23	ESC_KA6742AA	O2	H7
ESC_KA6743AA		ERR2910113;ILLUMINA;Paired;466;ERX2913273																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305601	ERS1930579	2018-12-02	2018-11-23	ESC_KA6743AA	O18	H7
ESC_KA6744AA		ERR2910112;ILLUMINA;Paired;457;ERX2913272																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305600	ERS1930578	2018-12-02	2018-11-23	ESC_KA6744AA	O2	H7
ESC_KA6745AA		ERR2910111;ILLUMINA;Paired;466;ERX2913271																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305599	ERS1930577	2018-12-02	2018-11-23	ESC_KA6745AA	O2	H7
ESC_KA6746AA		ERR2910110;ILLUMINA;Paired;469;ERX2913270																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305598	ERS1930576	2018-12-02	2018-11-23	ESC_KA6746AA	O1	H7
ESC_KA6747AA		ERR2910109;ILLUMINA;Paired;452;ERX2913269																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305597	ERS1930575	2018-12-02	2018-11-23	ESC_KA6747AA	O1	H7
ESC_KA6748AA		ERR2910108;ILLUMINA;Paired;469;ERX2913268																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305596	ERS1930574	2018-12-02	2018-11-23	ESC_KA6748AA	O45	H7
ESC_KA6749AA		ERR2910107;ILLUMINA;Paired;447;ERX2913267																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305595	ERS1930573	2018-12-02	2018-11-23	ESC_KA6749AA	O2	H4
ESC_KA6750AA		ERR2910106;ILLUMINA;Paired;458;ERX2913266																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305594	ERS1930572	2018-12-02	2018-11-23	ESC_KA6750AA	O1	H7
ESC_KA6752AA		ERR2910104;ILLUMINA;Paired;458;ERX2913264																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305592	ERS1930570	2018-12-02	2018-11-23	ESC_KA6752AA	O1	H7
ESC_KA6753AA		ERR2910103;ILLUMINA;Paired;454;ERX2913263																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305591	ERS1930569	2018-12-02	2018-11-23	ESC_KA6753AA	O2	H7
ESC_KA6754AA		ERR2910102;ILLUMINA;Paired;471;ERX2913262																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305590	ERS1930568	2018-12-02	2018-11-23	ESC_KA6754AA	O1	H7
ESC_KA6755AA		ERR2910101;ILLUMINA;Paired;446;ERX2913261																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305589	ERS1930567	2018-12-02	2018-11-23	ESC_KA6755AA	O1	H7
ESC_KA6756AA		ERR2910100;ILLUMINA;Paired;454;ERX2913260																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305588	ERS1930566	2018-12-02	2018-11-23	ESC_KA6756AA	O1	H7
ESC_KA6763AA		ERR2910093;ILLUMINA;Paired;456;ERX2913253																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305581	ERS1930559	2018-12-02	2018-11-23	ESC_KA6763AA	O1	H7
ESC_KA6764AA		ERR2910092;ILLUMINA;Paired;451;ERX2913252																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305580	ERS1930558	2018-12-02	2018-11-23	ESC_KA6764AA	O1	H7
ESC_KA6769AA		ERR2910087;ILLUMINA;Paired;456;ERX2913247																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305575	ERS1930553	2018-12-02	2018-11-23	ESC_KA6769AA	O1	H7
ESC_KA6772AA		ERR2910084;ILLUMINA;Paired;441;ERX2913244																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305572	ERS1930550	2018-12-02	2018-11-23	ESC_KA6772AA	O1	H7
ESC_KA6777AA		ERR2910079;ILLUMINA;Paired;442;ERX2913239																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305567	ERS1930545	2018-12-02	2018-11-23	ESC_KA6777AA	O25	H4
ESC_KA6782AA		ERR2910074;ILLUMINA;Paired;457;ERX2913234																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305562	ERS1930540	2018-12-02	2018-11-23	ESC_KA6782AA	O2	H4
ESC_KA6786AA		ERR2910070;ILLUMINA;Paired;459;ERX2913230																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305558	ERS1930536	2018-12-02	2018-11-23	ESC_KA6786AA	O1	H7
ESC_KA6788AA		ERR2910068;ILLUMINA;Paired;449;ERX2913228																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305556	ERS1930534	2018-12-02	2018-11-23	ESC_KA6788AA	O1	H7
ESC_KA6807AA		ERR2910049;ILLUMINA;Paired;439;ERX2913209																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305537	ERS1930515	2018-12-02	2018-11-23	ESC_KA6807AA	O2	H7
ESC_KA6808AA		ERR2910048;ILLUMINA;Paired;448;ERX2913208																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305536	ERS1930514	2018-12-02	2018-11-23	ESC_KA6808AA	O2	H7
ESC_KA6809AA		ERR2910047;ILLUMINA;Paired;447;ERX2913207																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305535	ERS1930513	2018-12-02	2018-11-23	ESC_KA6809AA	O2	H4
ESC_KA6810AA		ERR2910046;ILLUMINA;Paired;460;ERX2913206																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305534	ERS1930512	2018-12-02	2018-11-23	ESC_KA6810AA	O2	H4
ESC_KA6811AA		ERR2910045;ILLUMINA;Paired;449;ERX2913205																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305533	ERS1930511	2018-12-02	2018-11-23	ESC_KA6811AA	O2	H4
ESC_KA6812AA		ERR2910044;ILLUMINA;Paired;464;ERX2913204																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305532	ERS1930510	2018-12-02	2018-11-23	ESC_KA6812AA	O2	H7
ESC_KA6813AA		ERR2910043;ILLUMINA;Paired;457;ERX2913203																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305531	ERS1930509	2018-12-02	2018-11-23	ESC_KA6813AA	O18	H7
ESC_KA6815AA		ERR2910041;ILLUMINA;Paired;450;ERX2913201																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305529	ERS1930507	2018-12-02	2018-11-23	ESC_KA6815AA	O45	H7
ESC_KA6817AA		ERR2910039;ILLUMINA;Paired;442;ERX2913199																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305527	ERS1930505	2018-12-02	2018-11-23	ESC_KA6817AA	O1	H7
ESC_KA6818AA		ERR2910038;ILLUMINA;Paired;452;ERX2913198																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305526	ERS1930504	2018-12-02	2018-11-23	ESC_KA6818AA	O1	H7
ESC_KA6820AA		ERR2910036;ILLUMINA;Paired;423;ERX2913196																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305524	ERS1930502	2018-12-02	2018-11-23	ESC_KA6820AA	O1	H7
ESC_KA6822AA		ERR2910034;ILLUMINA;Paired;452;ERX2913194																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305522	ERS1930500	2018-12-02	2018-11-23	ESC_KA6822AA	O2	H4
ESC_KA6832AA		ERR2910024;ILLUMINA;Paired;445;ERX2913184																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305512	ERS1930490	2018-12-02	2018-11-23	ESC_KA6832AA	O117	H7
ESC_KA6836AA		ERR2910020;ILLUMINA;Paired;450;ERX2913180																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305508	ERS1930486	2018-12-02	2018-11-23	ESC_KA6836AA	O1	H7
ESC_KA6915AA		ERR2909941;ILLUMINA;Paired;455;ERX2913101																Wellcome Sanger Institute	Escherichia coli								PRJEB22030	ERP024349		SAMEA104305429	ERS1930407	2018-12-02	2018-11-23	ESC_KA6915AA	O1	H7
ESC_KA6972AA	Dan_105 (730-060115-5-1 salp EC)	traces-0pFxwNc;ILLUMINA;Paired;;NA	Poultry	Poultry		2014												IVS, University of Copenhagen														2018-12-04	2019-06-08	ESC_KA6972AA	O2	H5
ESC_KA6974AA	Dan_107 (730-091214-5-5 salp EC)	traces-0ZDyVqo;ILLUMINA;Paired;;NA	Poultry	Poultry		2014												IVS, University of Copenhagen														2018-12-04	2019-06-08	ESC_KA6974AA	O2	H5
ESC_KA6985AA	Dan_117 (730-070115-x-25 salp EC)	traces-0QXbZwm;ILLUMINA;Paired;;NA	Poultry	Poultry		2014												IVS, University of Copenhagen														2018-12-04	2019-06-08	ESC_KA6985AA	O1	H7
ESC_KA6994AA	ATCC 11775	GCA_003697165;Complete Genome;;;,GCF_003697165;Complete Genome;;;				2018	3											University of Arkansas for Medical Sciences	Escherichia coli								PRJNA224116			SAMN10252913		2018-12-04	2018-10-30	ESC_KA6994AA	O1	H7
ESC_KA7073AA	MS7163	GCF_003020885;Complete Genome;;;	Human	Human	Homo sapiens; urine					Europe	Slovakia							University of Queensland	Escherichia coli		O45:K1:H7						PRJNA224116			SAMN08469740		2018-12-04	2018-03-27	ESC_KA7073AA	O45	H7
ESC_KA7144AA	HS13-1	GCF_002953435;Complete Genome;;;	Human	Human	Homo sapiens; faecal sample	2017				Asia	China	Guangdong		Shenzhen				The Hong Kong Polytechnic University	Escherichia coli								PRJNA224116			SAMN08409128		2018-12-04	2018-02-04	ESC_KA7144AA	O1	H7
ESC_KA7235AA	MS8345	GCF_002846135;Complete Genome;;;	Human	Human	Homo sapiens; Respiratory secretions; male	2016				Asia	Qatar							University of Queensland	Escherichia coli								PRJNA224116			SAMN08148171		2018-12-04	2017-12-21	ESC_KA7235AA	O2	H4
ESC_KA7290AA	PA45B	GCF_002285755;Complete Genome;;;	Human	Human	Homo sapiens	2010				Oceania	Australia	Queensland		Brisbane				University of Queensland	Escherichia coli		O2:K1:H7						PRJNA224116			SAMN06920354		2018-12-04	2017-09-05	ESC_KA7290AA	O2	H7
ESC_KA7340AA	NU14	GCF_002024865;Complete Genome;;;	Human	Human	Homo sapiens; Urine; female; Urine	1986				North America	United States					41.896068	-87.616877	National University of Singapore and Genome Institute of Singapore	Escherichia coli								PRJNA224116			SAMN06314223		2018-12-04	2017-03-10	ESC_KA7340AA	O18	H7
ESC_KA7355AA	APEC O18	GCF_001021615;Complete Genome;;;	Poultry		pericardium/lung; chicken					North America	United States							Iowa State University, Veterinary Microbiology and Preventive Medicine	Escherichia coli								PRJNA224116			SAMN03761813		2018-12-04	2015-06-08	ESC_KA7355AA	O18	H7
ESC_KA8130AA	PSU-1742	SRR8297457;ILLUMINA;Paired;500;SRX5111962	Poultry	Avian	Poultry	2018	4			North America	United States	Georgia						FDA Center for Food Safety and Applied Nutrition	Escherichia coli								PRJNA357722	SRP101500		SAMN10485807	SRS4120908	2018-12-11	2018-12-10	ESC_KA8130AA	O2	H4
ESC_KA8413AA	M091A	SRR8360146;ILLUMINA;Paired;500;SRX5170838	Human	Human	Homo sapiens; stool	2017	7			Asia	Sri Lanka							FDA Center for Food Safety and Applied Nutrition	Escherichia coli								PRJNA293225	SRP103093		SAMN10506437	SRS4178472	2018-12-21	2018-12-20	ESC_KA8413AA	O2	H4
ESC_KA8560AA	FSIS11816749	SRR8375464;ILLUMINA;Paired;500;SRX5185510	Livestock	Bovine	animal-cattle-steer	2018				North America	United States	Colorado						United States Department of Agriculture, Food Safety and Inspection Service	Escherichia coli								PRJNA292667	SRP066916		SAMN10656498	SRS4192133	2019-01-01	2018-12-27	ESC_KA8560AA	O2	H5
ESC_KA9051AA	655404	SRR8389128;ILLUMINA;Paired;;SRX5198840	Human	Human	human; Homo sapiens	2018	12			Europe	United Kingdom							Public Health England	Escherichia coli		Escherichia Coli						PRJNA315192	SRP071789		SAMN10690101	SRS4204612	2019-01-08	2019-01-04	ESC_KA9051AA	O45	H7
ESC_KA9556AA	FSIS11917128	SRR8456429;ILLUMINA;Paired;500;SRX5263083	Livestock	Bovine	animal-cattle-steer	2018				North America	United States	Arizona						United States Department of Agriculture, Food Safety and Inspection Service	Escherichia coli								PRJNA292667	SRP066916		SAMN10774476	SRS4263912	2019-01-23	2019-01-18	ESC_KA9556AA	-	H5
ESC_KA9973AA	ERS1995097	ERR3062020;ILLUMINA;Paired;427;ERX3134821																Wellcome Sanger Institute	Escherichia coli								PRJEB23294	ERP105033		SAMEA104370119	ERS1995097	2019-01-25	2019-01-24	ESC_KA9973AA	O1	H7
ESC_LA0100AA	ERS1917045	ERR3060798;ILLUMINA;Paired;478;ERX3133599																Wellcome Sanger Institute	Escherichia coli								PRJEB20357	ERP022502		SAMEA104292067	ERS1917045	2019-01-25	2019-01-24	ESC_LA0100AA	O1	H1
ESC_LA0844AA	ECOL-18-VL-SD-IA-0024	SRR8502805;ILLUMINA;Paired;500;SRX5306737	ND	Canine	Urine (Canine)	2018	6			North America	United States	Iowa						FDA Center for Food Safety and Applied Nutrition	Escherichia coli								PRJNA318591	SRP125339		SAMN10393231	SRS4304289	2019-01-29	2019-01-29	ESC_LA0844AA	O2	H7
ESC_LA1140AA	M14W138421	SRR8505951;ILLUMINA;Paired;;SRX5309791	Human	Human	Homo sapiens; urine	2014				Europe	United Kingdom					52.943219	-1.184984	University of Birmingham	Escherichia coli								PRJNA517788	SRP182888		SAMN10845025	SRS4307235	2019-01-30	2019-01-30	ESC_LA1140AA	O2	H7
ESC_LA1143AA	F14W131166-2	SRR8505954;ILLUMINA;Paired;;SRX5309788	Human	Human	Homo sapiens; urine	2014				Europe	United Kingdom					52.943219	-1.184984	University of Birmingham	Escherichia coli								PRJNA517788	SRP182888		SAMN10845024	SRS4307232	2019-01-30	2019-01-30	ESC_LA1143AA	O18	H7
ESC_LA1549AA	M035X	SRR8535144;ILLUMINA;Paired;500;SRX5337633	Human	Human	Homo sapiens; stool	2017	7			Asia	Sri Lanka							FDA Center for Food Safety and Applied Nutrition	Escherichia coli								PRJNA293225	SRP103093		SAMN10878257	SRS4330856	2019-02-06	2019-02-05	ESC_LA1549AA	O2	H4
ESC_LA3754AA	635	SRR7304367;ILLUMINA;Paired;;SRX4206769	Human	Human	Homo sapiens; feces	1998				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405725	SRS3413495	2019-02-11	2018-09-18	ESC_LA3754AA	O1	H7
ESC_LA3756AA	1072	SRR7304369;ILLUMINA;Paired;;SRX4206767	Human	Human	Homo sapiens; feces	1999				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405719	SRS3413493	2019-02-11	2018-09-18	ESC_LA3756AA	O1	H7
ESC_LA3757AA	233	SRR7304370;ILLUMINA;Paired;;SRX4206766	Human	Human	Homo sapiens; feces	1998				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405720	SRS3413492	2019-02-11	2018-09-18	ESC_LA3757AA	O18	H7
ESC_LA3758AA	2H18	SRR7304371;ILLUMINA;Paired;;SRX4206765	Human	Human	Homo sapiens; blood	1986				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405717	SRS3413491	2019-02-11	2018-09-18	ESC_LA3758AA	O1	H7
ESC_LA3759AA	2P6	SRR7304372;ILLUMINA;Paired;;SRX4206764	Human	Human	Homo sapiens; blood	1986				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405718	SRS3413488	2019-02-11	2018-09-18	ESC_LA3759AA	O2	H7
ESC_LA3760AA	417	SRR7304373;ILLUMINA;Paired;;SRX4206763	Human	Human	Homo sapiens; feces	1998				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405723	SRS3413489	2019-02-11	2018-09-18	ESC_LA3760AA	O2	H7
ESC_LA3761AA	474	SRR7304374;ILLUMINA;Paired;;SRX4206762	Human	Human	Homo sapiens; feces	1998				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405724	SRS3413486	2019-02-11	2018-09-18	ESC_LA3761AA	O1	H7
ESC_LA3762AA	267	SRR7304375;ILLUMINA;Paired;;SRX4206761	Human	Human	Homo sapiens; feces	1998				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405721	SRS3413487	2019-02-11	2018-09-18	ESC_LA3762AA	O1	H7
ESC_LA3763AA	275	SRR7304376;ILLUMINA;Paired;;SRX4206760	Human	Human	Homo sapiens; feces	1998				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405722	SRS3413541	2019-02-11	2018-09-18	ESC_LA3763AA	O2	H7
ESC_LA3800AA	2H25	SRR7304413;ILLUMINA;Paired;;SRX4206723	Human	Human	Homo sapiens; blood	1987				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405716	SRS3413448	2019-02-11	2018-09-18	ESC_LA3800AA	O18	H7
ESC_LA3801AA	PM6	SRR7304414;ILLUMINA;Paired;;SRX4206722	Human	Human	Homo sapiens; blood	1985				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405715	SRS3413447	2019-02-11	2018-09-18	ESC_LA3801AA	O2	H7
ESC_LA3804AA	H3	SRR7304417;ILLUMINA;Paired;;SRX4206719	Human	Human	Homo sapiens; blood	1984				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405708	SRS3413444	2019-02-11	2018-09-18	ESC_LA3804AA	O1	H7
ESC_LA3805AA	H16	SRR7304418;ILLUMINA;Paired;;SRX4206718	Human	Human	Homo sapiens; blood	1984				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405707	SRS3413443	2019-02-11	2018-09-18	ESC_LA3805AA	O1	H7
ESC_LA3806AA	H25	SRR7304419;ILLUMINA;Paired;;SRX4206717	Human	Human	Homo sapiens; blood	1984				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405710	SRS3413442	2019-02-11	2018-09-18	ESC_LA3806AA	O2	H7
ESC_LA3807AA	H15	SRR7304420;ILLUMINA;Paired;;SRX4206716	Human	Human	Homo sapiens; blood	1984				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405709	SRS3413441	2019-02-11	2018-09-18	ESC_LA3807AA	O2	H7
ESC_LA3808AA	H38	SRR7304421;ILLUMINA;Paired;;SRX4206715	Human	Human	Homo sapiens; blood	1985				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405712	SRS3413440	2019-02-11	2018-09-18	ESC_LA3808AA	O1	H7
ESC_LA3809AA	H35	SRR7304422;ILLUMINA;Paired;;SRX4206714	Human	Human	Homo sapiens; blood	1985				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405711	SRS3413439	2019-02-11	2018-09-18	ESC_LA3809AA	O1	H7
ESC_LA3810AA	V23	SRR7304423;ILLUMINA;Paired;;SRX4206713	Human	Human	Homo sapiens; blood	1984				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405714	SRS3413438	2019-02-11	2018-09-18	ESC_LA3810AA	O1	H7
ESC_LA3811AA	V15	SRR7304424;ILLUMINA;Paired;;SRX4206712	Human	Human	Homo sapiens; blood	1981				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405713	SRS3413490	2019-02-11	2018-09-18	ESC_LA3811AA	O1	H7
ESC_LA3845AA	455	SRR7304458;ILLUMINA;Paired;;SRX4206678	Human	Human	Homo sapiens; feces	2000				North America	United States							George Washington University	Escherichia coli								PRJNA475142	SRP150422		SAMN09405737	SRS3413404	2019-02-11	2018-09-18	ESC_LA3845AA	O1	H7
