"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ESC_NA4003AA_AS","ESC_NA4004AA_AS","ESC_NA4005AA_AS","ESC_NA4045AA_AS"
"yecF","","hypothetical protein","4","4","1","2","157","","","","224","224","224","LOCUS_29020","f76cef297a7dedb9150c88bc61db4d5a_108","d0dc75faf82af35216c4087e568ab6aa_2325","e27c64c29733013eb4c363b5c7ab13b8_3741"
"group_3029","","C4-dicarboxylate ABC transporter","4","4","1","4","66","","","","971","971","971","LOCUS_27520","f76cef297a7dedb9150c88bc61db4d5a_1367","d0dc75faf82af35216c4087e568ab6aa_4239","e27c64c29733013eb4c363b5c7ab13b8_1055"
"group_3030","","histidine kinase","4","4","1","8","121","","","","1715","1715","1715","LOCUS_09240","f76cef297a7dedb9150c88bc61db4d5a_3111","d0dc75faf82af35216c4087e568ab6aa_4273","e27c64c29733013eb4c363b5c7ab13b8_1895"
"purE","","N5-carboxyaminoimidazole ribonucleotide mutase","4","4","1","1","630","","","","509","509","509","LOCUS_09600","f76cef297a7dedb9150c88bc61db4d5a_1895","d0dc75faf82af35216c4087e568ab6aa_3740","e27c64c29733013eb4c363b5c7ab13b8_1254"
"group_3032","","D-lyxose isomerase","4","4","1","12","105","","","","680","680","680","LOCUS_32300","f76cef297a7dedb9150c88bc61db4d5a_2273","d0dc75faf82af35216c4087e568ab6aa_2655","e27c64c29733013eb4c363b5c7ab13b8_1562"
"yejG","","hypothetical protein","4","4","1","10","71","","","","344","344","344","LOCUS_12890","f76cef297a7dedb9150c88bc61db4d5a_4178","d0dc75faf82af35216c4087e568ab6aa_3441","e27c64c29733013eb4c363b5c7ab13b8_2924"
"group_3034","","paraslipin","4","4","1","1","602","","","","917","917","917","LOCUS_09880","f76cef297a7dedb9150c88bc61db4d5a_1867","d0dc75faf82af35216c4087e568ab6aa_4184","e27c64c29733013eb4c363b5c7ab13b8_1282"
"group_3035","","hypothetical protein","4","4","1","2","71","","","","407","407","407","LOCUS_35310","f76cef297a7dedb9150c88bc61db4d5a_16","d0dc75faf82af35216c4087e568ab6aa_4061","e27c64c29733013eb4c363b5c7ab13b8_3166"
"group_3036","","8-amino-7-oxononanoate synthase","4","4","1","20","36","","","","1172","1172","1172","LOCUS_39210","f76cef297a7dedb9150c88bc61db4d5a_3504","d0dc75faf82af35216c4087e568ab6aa_3782","e27c64c29733013eb4c363b5c7ab13b8_2771"
"hisB","","histidine biosynthesis bifunctional protein HisB","4","4","1","6","71","","","","1067","1067","1067","LOCUS_41300","f76cef297a7dedb9150c88bc61db4d5a_4348","d0dc75faf82af35216c4087e568ab6aa_3691","e27c64c29733013eb4c363b5c7ab13b8_3902"
"group_3038","","hypothetical protein","4","4","1","1","680","","","","311","311","311","LOCUS_35820","f76cef297a7dedb9150c88bc61db4d5a_2566","d0dc75faf82af35216c4087e568ab6aa_366","e27c64c29733013eb4c363b5c7ab13b8_3432"
"frcK","","nucleoside/nucleotide kinase family protein","4","4","1","3","40","","","","713","713","713","LOCUS_24490","f76cef297a7dedb9150c88bc61db4d5a_2038","d0dc75faf82af35216c4087e568ab6aa_643","e27c64c29733013eb4c363b5c7ab13b8_38"
"group_3040","","CRISPR-associated protein Csy3","4","4","1","5","211","","","","1001","1001","1001","LOCUS_13900","f76cef297a7dedb9150c88bc61db4d5a_1171","d0dc75faf82af35216c4087e568ab6aa_872","e27c64c29733013eb4c363b5c7ab13b8_366"
"pabB","","aminodeoxychorismate synthase subunit I","4","4","1","2","251","","","","1361","1361","1361","LOCUS_19700","f76cef297a7dedb9150c88bc61db4d5a_206","d0dc75faf82af35216c4087e568ab6aa_12","e27c64c29733013eb4c363b5c7ab13b8_697"
"group_3042","","hypothetical protein","4","4","1","3","175","","","","1652","1652","1652","LOCUS_42560","f76cef297a7dedb9150c88bc61db4d5a_731","d0dc75faf82af35216c4087e568ab6aa_3849","e27c64c29733013eb4c363b5c7ab13b8_175"
"lpoB","","penicillin-binding protein activator LpoB","4","4","1","1","892","","","","641","641","641","LOCUS_02750","f76cef297a7dedb9150c88bc61db4d5a_2860","d0dc75faf82af35216c4087e568ab6aa_1857","e27c64c29733013eb4c363b5c7ab13b8_2323"
"group_3044","","tail sheath protein","4","4","1","5","163","","","","1172","1172","1172","LOCUS_14380","f76cef297a7dedb9150c88bc61db4d5a_1121","d0dc75faf82af35216c4087e568ab6aa_922","e27c64c29733013eb4c363b5c7ab13b8_416"
"fabB","","3-oxoacyl-[acyl-carrier-protein] synthase 1","4","4","1","10","16","","","","1220","1220","1220","LOCUS_19000","f76cef297a7dedb9150c88bc61db4d5a_2058","d0dc75faf82af35216c4087e568ab6aa_2400","e27c64c29733013eb4c363b5c7ab13b8_3371"
"adrA","","diguanylate cyclase AdrA","4","4","1","1","492","","","","1115","1115","1115","LOCUS_23650","f76cef297a7dedb9150c88bc61db4d5a_1757","d0dc75faf82af35216c4087e568ab6aa_1347","e27c64c29733013eb4c363b5c7ab13b8_4449"
"group_3047","","nitrate reductase subunit alpha","4","4","1","1","743","","","","3743","3743","3743","LOCUS_16210","f76cef297a7dedb9150c88bc61db4d5a_2629","d0dc75faf82af35216c4087e568ab6aa_303","e27c64c29733013eb4c363b5c7ab13b8_4599"
"sgbH","","3-keto-L-gulonate-6-phosphate decarboxylase","4","4","1","14","50","","","","662","662","662","LOCUS_18260","f76cef297a7dedb9150c88bc61db4d5a_3346","d0dc75faf82af35216c4087e568ab6aa_208","e27c64c29733013eb4c363b5c7ab13b8_2121"
"group_3049","","hypothetical protein","4","4","1","1","645","","","","197","197","197","LOCUS_34390","f76cef297a7dedb9150c88bc61db4d5a_1911","d0dc75faf82af35216c4087e568ab6aa_4822","e27c64c29733013eb4c363b5c7ab13b8_1238"
"group_3050","","baseplate assembly protein","4","4","1","3","406","","","","548","548","548","LOCUS_23110","f76cef297a7dedb9150c88bc61db4d5a_517","d0dc75faf82af35216c4087e568ab6aa_2246","e27c64c29733013eb4c363b5c7ab13b8_3582"
"znuC","","zinc import ATP-binding protein ZnuC","4","4","1","2","205","","","","755","755","755","LOCUS_20160","f76cef297a7dedb9150c88bc61db4d5a_159","d0dc75faf82af35216c4087e568ab6aa_2739","e27c64c29733013eb4c363b5c7ab13b8_743"
"group_3052","","hypothetical protein","4","4","1","1","655","","","","452","452","452","LOCUS_34480","f76cef297a7dedb9150c88bc61db4d5a_4562","d0dc75faf82af35216c4087e568ab6aa_4811","e27c64c29733013eb4c363b5c7ab13b8_4817"
"metR","","transcriptional regulator","4","4","1","21","43","","","","953","953","953","LOCUS_44790","f76cef297a7dedb9150c88bc61db4d5a_4739","d0dc75faf82af35216c4087e568ab6aa_2141","e27c64c29733013eb4c363b5c7ab13b8_4699"
"group_3054","","hypothetical protein","4","4","1","9","63","","","","377","377","377","LOCUS_38840","f76cef297a7dedb9150c88bc61db4d5a_1516","d0dc75faf82af35216c4087e568ab6aa_3478","e27c64c29733013eb4c363b5c7ab13b8_2697"
"ulaD","","3-keto-L-gulonate-6-phosphate decarboxylase UlaD","4","4","1","11","84","","","","650","650","650","LOCUS_47090","f76cef297a7dedb9150c88bc61db4d5a_2377","d0dc75faf82af35216c4087e568ab6aa_2034","e27c64c29733013eb4c363b5c7ab13b8_3345"
"aroE","","shikimate dehydrogenase (NADP(+))","4","4","1","24","9","","","","818","818","818","LOCUS_40950","f76cef297a7dedb9150c88bc61db4d5a_4326","d0dc75faf82af35216c4087e568ab6aa_3569","e27c64c29733013eb4c363b5c7ab13b8_4342"
"nrfB","","cytochrome C nitrite reductase pentaheme subunit","4","4","1","6","167","","","","566","566","566","LOCUS_15320","f76cef297a7dedb9150c88bc61db4d5a_1655","d0dc75faf82af35216c4087e568ab6aa_1311","e27c64c29733013eb4c363b5c7ab13b8_856"
"group_3058","","sugar ABC transporter permease","4","4","1","7","213","","","","989","989","989","LOCUS_31400","f76cef297a7dedb9150c88bc61db4d5a_770","d0dc75faf82af35216c4087e568ab6aa_2453","e27c64c29733013eb4c363b5c7ab13b8_1511"
"traV","","conjugal transfer protein TraV","4","4","1","18","51","","","","515","515","515","LOCUS_21810","f76cef297a7dedb9150c88bc61db4d5a_3688","d0dc75faf82af35216c4087e568ab6aa_3070","e27c64c29733013eb4c363b5c7ab13b8_3660"
"dapA","","4-hydroxy-tetrahydrodipicolinate synthase","4","4","1","8","110","","","","878","878","878","LOCUS_09340","f76cef297a7dedb9150c88bc61db4d5a_4238","d0dc75faf82af35216c4087e568ab6aa_3835","e27c64c29733013eb4c363b5c7ab13b8_1906"
"aat","","leucyl/phenylalanyl-tRNA--protein transferase","4","4","1","5","214","","","","704","704","704","LOCUS_13870","f76cef297a7dedb9150c88bc61db4d5a_1176","d0dc75faf82af35216c4087e568ab6aa_867","e27c64c29733013eb4c363b5c7ab13b8_361"
"group_3062","","toxin HipA","4","4","1","11","93","","","","1268","1268","1268","LOCUS_27470","f76cef297a7dedb9150c88bc61db4d5a_2368","d0dc75faf82af35216c4087e568ab6aa_2025","e27c64c29733013eb4c363b5c7ab13b8_3354"
"csiR","","transcriptional regulator","4","4","1","3","328","","","","662","662","662","LOCUS_30380","f76cef297a7dedb9150c88bc61db4d5a_571","d0dc75faf82af35216c4087e568ab6aa_4373","e27c64c29733013eb4c363b5c7ab13b8_4485"
"group_3064","","hypothetical protein","4","4","1","18","73","","","","401","401","401","LOCUS_21590","f76cef297a7dedb9150c88bc61db4d5a_3666","d0dc75faf82af35216c4087e568ab6aa_3092","e27c64c29733013eb4c363b5c7ab13b8_3682"
"hfq","","RNA-binding protein Hfq","4","4","1","11","60","","","","308","308","308","LOCUS_35060","f76cef297a7dedb9150c88bc61db4d5a_2401","d0dc75faf82af35216c4087e568ab6aa_2058","e27c64c29733013eb4c363b5c7ab13b8_3321"
"lgt","","prolipoprotein diacylglyceryl transferase","4","4","1","3","140","","","","875","875","875","LOCUS_19570","f76cef297a7dedb9150c88bc61db4d5a_1937","d0dc75faf82af35216c4087e568ab6aa_3009","e27c64c29733013eb4c363b5c7ab13b8_139"
"hycI","","hydrogenase 3 maturation protease","4","4","1","3","275","","","","470","470","470","LOCUS_07540","f76cef297a7dedb9150c88bc61db4d5a_629","d0dc75faf82af35216c4087e568ab6aa_1477","e27c64c29733013eb4c363b5c7ab13b8_277"
"group_3068","","zinc transporter","4","4","1","10","30","","","","782","782","782","LOCUS_18860","f76cef297a7dedb9150c88bc61db4d5a_2072","d0dc75faf82af35216c4087e568ab6aa_2414","e27c64c29733013eb4c363b5c7ab13b8_3385"
"gpt","","xanthine phosphoribosyltransferase","4","4","1","23","27","","","","458","458","458","LOCUS_38030","f76cef297a7dedb9150c88bc61db4d5a_4098","d0dc75faf82af35216c4087e568ab6aa_2889","e27c64c29733013eb4c363b5c7ab13b8_4206"
"group_3070","","hypothetical protein","4","4","1","1","77","","","","692","692","692","LOCUS_03650","f76cef297a7dedb9150c88bc61db4d5a_2939","d0dc75faf82af35216c4087e568ab6aa_1169","e27c64c29733013eb4c363b5c7ab13b8_2507"
"group_3071","","LPS export ABC transporter permease LptG","4","4","1","20","37","","","","1079","1079","1079","LOCUS_39220","f76cef297a7dedb9150c88bc61db4d5a_3503","d0dc75faf82af35216c4087e568ab6aa_3781","e27c64c29733013eb4c363b5c7ab13b8_2772"
"group_3072","","hypothetical protein","4","4","1","3","91","","","","479","479","479","LOCUS_30560","f76cef297a7dedb9150c88bc61db4d5a_1987","d0dc75faf82af35216c4087e568ab6aa_592","e27c64c29733013eb4c363b5c7ab13b8_89"
"group_3073","","hypothetical protein","4","4","1","32","20","","","","1358","1358","1358","LOCUS_43320","f76cef297a7dedb9150c88bc61db4d5a_4524","d0dc75faf82af35216c4087e568ab6aa_3889","e27c64c29733013eb4c363b5c7ab13b8_4326"
"group_3074","","hypothetical protein","4","4","1","1","841","","","","296","296","296","LOCUS_02250","f76cef297a7dedb9150c88bc61db4d5a_2910","d0dc75faf82af35216c4087e568ab6aa_4595","e27c64c29733013eb4c363b5c7ab13b8_2373"
"rihA","","pyrimidine-specific ribonucleoside hydrolase RihA","4","4","1","1","234","","","","935","935","935","LOCUS_22330","f76cef297a7dedb9150c88bc61db4d5a_2506","d0dc75faf82af35216c4087e568ab6aa_1092","e27c64c29733013eb4c363b5c7ab13b8_1975"
"metI","","D-methionine transport system permease protein MetI","4","4","1","19","18","","","","653","653","653","LOCUS_12190","f76cef297a7dedb9150c88bc61db4d5a_3580","d0dc75faf82af35216c4087e568ab6aa_1631","e27c64c29733013eb4c363b5c7ab13b8_2917"
"group_3077","","serine/threonine protein phosphatase","4","4","1","3","257","","","","656","656","656","LOCUS_07720","f76cef297a7dedb9150c88bc61db4d5a_647","d0dc75faf82af35216c4087e568ab6aa_1459","e27c64c29733013eb4c363b5c7ab13b8_259"
"aes","","acetyl esterase","4","4","1","1","581","","","","959","959","959","LOCUS_10090","f76cef297a7dedb9150c88bc61db4d5a_1846","d0dc75faf82af35216c4087e568ab6aa_2982","e27c64c29733013eb4c363b5c7ab13b8_1303"
"yidC","","membrane protein insertase YidC","4","4","1","12","50","","","","1646","1646","1646","LOCUS_10930","f76cef297a7dedb9150c88bc61db4d5a_2217","d0dc75faf82af35216c4087e568ab6aa_1758","e27c64c29733013eb4c363b5c7ab13b8_1618"
"group_3080","","DUF4862 domain-containing protein","4","4","1","14","55","","","","920","920","920","LOCUS_18310","f76cef297a7dedb9150c88bc61db4d5a_3341","d0dc75faf82af35216c4087e568ab6aa_203","e27c64c29733013eb4c363b5c7ab13b8_2116"
"group_3081","","MFS transporter","4","4","1","2","268","","","","1181","1181","1181","LOCUS_29750","f76cef297a7dedb9150c88bc61db4d5a_223","d0dc75faf82af35216c4087e568ab6aa_29","e27c64c29733013eb4c363b5c7ab13b8_680"
"group_3082","","hypothetical protein","4","4","1","8","44","","","","470","470","470","LOCUS_32490","f76cef297a7dedb9150c88bc61db4d5a_4014","d0dc75faf82af35216c4087e568ab6aa_2920","e27c64c29733013eb4c363b5c7ab13b8_4078"
"mlaE","","putative phospholipid ABC transporter permease protein MlaE","4","4","1","7","141","","","","782","782","782","LOCUS_05610","f76cef297a7dedb9150c88bc61db4d5a_825","d0dc75faf82af35216c4087e568ab6aa_811","e27c64c29733013eb4c363b5c7ab13b8_1456"
"prpB","","2-methylisocitrate lyase","4","4","1","25","18","","","","890","890","890","LOCUS_28170","f76cef297a7dedb9150c88bc61db4d5a_3769","d0dc75faf82af35216c4087e568ab6aa_2367","e27c64c29733013eb4c363b5c7ab13b8_3711"
"frwB","","fructose-like phosphotransferase enzyme IIB component 2","4","4","1","13","90","","","","320","320","320","LOCUS_36300","f76cef297a7dedb9150c88bc61db4d5a_4219","d0dc75faf82af35216c4087e568ab6aa_3300","e27c64c29733013eb4c363b5c7ab13b8_3848"
"group_3086","","glutaredoxin","4","4","1","2","398","","","","347","347","347","LOCUS_01140","f76cef297a7dedb9150c88bc61db4d5a_355","d0dc75faf82af35216c4087e568ab6aa_998","e27c64c29733013eb4c363b5c7ab13b8_1780"
"yijE","","putative cystine transporter YijE","4","4","1","13","96","","","","905","905","905","LOCUS_36360","f76cef297a7dedb9150c88bc61db4d5a_4213","d0dc75faf82af35216c4087e568ab6aa_3294","e27c64c29733013eb4c363b5c7ab13b8_3842"
"xni","","Flap endonuclease Xni","4","4","1","3","196","","","","755","755","755","LOCUS_08330","f76cef297a7dedb9150c88bc61db4d5a_707","d0dc75faf82af35216c4087e568ab6aa_2495","e27c64c29733013eb4c363b5c7ab13b8_199"
"folP","","dihydropteroate synthase","4","4","1","7","124","","","","848","848","848","LOCUS_05440","f76cef297a7dedb9150c88bc61db4d5a_842","d0dc75faf82af35216c4087e568ab6aa_794","e27c64c29733013eb4c363b5c7ab13b8_1439"
"pheP","","aromatic amino acid transporter AroP","4","4","1","1","302","","","","1412","1412","1412","LOCUS_17790","f76cef297a7dedb9150c88bc61db4d5a_2438","d0dc75faf82af35216c4087e568ab6aa_1810","e27c64c29733013eb4c363b5c7ab13b8_2043"
"thiG","","thiazole synthase","4","4","1","29","14","","","","770","770","770","LOCUS_35580","f76cef297a7dedb9150c88bc61db4d5a_4199","d0dc75faf82af35216c4087e568ab6aa_3042","e27c64c29733013eb4c363b5c7ab13b8_4275"
"dppD","","dipeptide ABC transporter ATP-binding protein","4","4","1","14","89","","","","983","983","983","LOCUS_26440","f76cef297a7dedb9150c88bc61db4d5a_3305","d0dc75faf82af35216c4087e568ab6aa_168","e27c64c29733013eb4c363b5c7ab13b8_2080"
"group_3093","","GGDEF domain-containing protein","4","4","1","2","483","","","","1418","1418","1418","LOCUS_00160","f76cef297a7dedb9150c88bc61db4d5a_453","d0dc75faf82af35216c4087e568ab6aa_2557","e27c64c29733013eb4c363b5c7ab13b8_1682"
"mnmC","","tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC","4","4","1","10","15","","","","2006","2006","2006","LOCUS_19010","f76cef297a7dedb9150c88bc61db4d5a_2057","d0dc75faf82af35216c4087e568ab6aa_2399","e27c64c29733013eb4c363b5c7ab13b8_3370"
"rplP","","50S ribosomal protein L16","4","4","1","24","40","","","","410","410","410","LOCUS_40640","f76cef297a7dedb9150c88bc61db4d5a_4295","d0dc75faf82af35216c4087e568ab6aa_3538","e27c64c29733013eb4c363b5c7ab13b8_4373"
"ycgN","","UPF0260 protein YcgN","4","4","1","1","692","","","","461","461","461","LOCUS_35940","f76cef297a7dedb9150c88bc61db4d5a_2578","d0dc75faf82af35216c4087e568ab6aa_354","e27c64c29733013eb4c363b5c7ab13b8_3444"
"group_3097","","hypothetical protein","4","4","1","1","403","","","","722","722","722","LOCUS_20560","f76cef297a7dedb9150c88bc61db4d5a_3168","d0dc75faf82af35216c4087e568ab6aa_401","e27c64c29733013eb4c363b5c7ab13b8_1178"
"group_3098","","DNA-binding protein","4","4","1","8","57","","","","722","722","722","LOCUS_32620","f76cef297a7dedb9150c88bc61db4d5a_4027","d0dc75faf82af35216c4087e568ab6aa_2933","e27c64c29733013eb4c363b5c7ab13b8_4091"
"group_3099","","solute:sodium symporter family transporter","4","4","1","12","72","","","","1715","1715","1715","LOCUS_10710","f76cef297a7dedb9150c88bc61db4d5a_2239","d0dc75faf82af35216c4087e568ab6aa_1780","e27c64c29733013eb4c363b5c7ab13b8_1596"
"group_31","","membrane protein","4","4","1","3","217","","","","809","893","872","LOCUS_08120","f76cef297a7dedb9150c88bc61db4d5a_686","d0dc75faf82af35216c4087e568ab6aa_2516","e27c64c29733013eb4c363b5c7ab13b8_220"
"iscX","","protein IscX","4","4","1","16","63","","","","200","200","200","LOCUS_13080","f76cef297a7dedb9150c88bc61db4d5a_3214","d0dc75faf82af35216c4087e568ab6aa_1951","e27c64c29733013eb4c363b5c7ab13b8_2198"
"group_3101","","fimbrial protein","4","4","1","7","7","","","","563","563","563","LOCUS_04270","f76cef297a7dedb9150c88bc61db4d5a_962","d0dc75faf82af35216c4087e568ab6aa_1570","e27c64c29733013eb4c363b5c7ab13b8_3063"
"rplW","","50S ribosomal protein L23","4","4","1","24","45","","","","302","302","302","LOCUS_40590","f76cef297a7dedb9150c88bc61db4d5a_4290","d0dc75faf82af35216c4087e568ab6aa_3533","e27c64c29733013eb4c363b5c7ab13b8_4378"
"cpsG","","phosphomannomutase","4","4","1","9","15","","","","1370","1370","1370","LOCUS_21280","f76cef297a7dedb9150c88bc61db4d5a_1564","d0dc75faf82af35216c4087e568ab6aa_3357","e27c64c29733013eb4c363b5c7ab13b8_2745"
"xylF","","xylose ABC transporter substrate-binding protein","4","4","1","14","66","","","","992","992","992","LOCUS_18420","f76cef297a7dedb9150c88bc61db4d5a_3330","d0dc75faf82af35216c4087e568ab6aa_192","e27c64c29733013eb4c363b5c7ab13b8_2105"
"group_3105","","sugar ABC transporter permease","4","4","1","1","404","","","","842","842","842","LOCUS_20550","f76cef297a7dedb9150c88bc61db4d5a_3167","d0dc75faf82af35216c4087e568ab6aa_402","e27c64c29733013eb4c363b5c7ab13b8_1179"
"group_3106","","(2E,6E)-farnesyl diphosphate synthase","4","4","1","1","527","","","","899","899","899","LOCUS_24000","f76cef297a7dedb9150c88bc61db4d5a_1792","d0dc75faf82af35216c4087e568ab6aa_1382","e27c64c29733013eb4c363b5c7ab13b8_1357"
"group_3107","","high-affinity choline transporter BetT","4","4","1","25","39","","","","1988","1988","1988","LOCUS_28370","f76cef297a7dedb9150c88bc61db4d5a_3748","d0dc75faf82af35216c4087e568ab6aa_2346","e27c64c29733013eb4c363b5c7ab13b8_3690"
"group_3108","","GntR family transcriptional regulator","4","4","1","12","2","","","","692","692","692","LOCUS_11410","f76cef297a7dedb9150c88bc61db4d5a_2169","d0dc75faf82af35216c4087e568ab6aa_3237","e27c64c29733013eb4c363b5c7ab13b8_1666"
"group_3109","","Auf fimbriae major fimbrial subunit AufA","4","4","1","15","17","","","","704","704","704","LOCUS_36830","f76cef297a7dedb9150c88bc61db4d5a_2783","d0dc75faf82af35216c4087e568ab6aa_4094","e27c64c29733013eb4c363b5c7ab13b8_2585"
"fliR","","flagellar biosynthetic protein FliR","4","4","1","2","123","","","","785","785","785","LOCUS_41910","f76cef297a7dedb9150c88bc61db4d5a_74","d0dc75faf82af35216c4087e568ab6aa_3716","e27c64c29733013eb4c363b5c7ab13b8_3775"
"emrY","","multidrug resistance protein EmrY","4","4","1","8","152","","","","1538","1538","1538","LOCUS_44080","f76cef297a7dedb9150c88bc61db4d5a_3022","d0dc75faf82af35216c4087e568ab6aa_4124","e27c64c29733013eb4c363b5c7ab13b8_1806"
"ymjC","","NAD-dependent dehydratase","4","4","1","1","388","","","","638","638","638","LOCUS_20710","f76cef297a7dedb9150c88bc61db4d5a_3183","d0dc75faf82af35216c4087e568ab6aa_386","e27c64c29733013eb4c363b5c7ab13b8_1163"
"traN","","conjugal transfer mating pair stabilization protein TraN","4","4","1","18","58","","","","1808","1808","1808","LOCUS_21740","f76cef297a7dedb9150c88bc61db4d5a_3681","d0dc75faf82af35216c4087e568ab6aa_3077","e27c64c29733013eb4c363b5c7ab13b8_3667"
"yacL","","UPF0231 protein YacL","4","4","1","4","136","","","","362","362","362","LOCUS_44310","f76cef297a7dedb9150c88bc61db4d5a_1193","d0dc75faf82af35216c4087e568ab6aa_4330","e27c64c29733013eb4c363b5c7ab13b8_4679"
"group_3115","","Bcr/CflA family drug resistance efflux transporter","4","4","1","2","392","","","","1211","1211","1211","LOCUS_01200","f76cef297a7dedb9150c88bc61db4d5a_349","d0dc75faf82af35216c4087e568ab6aa_1004","e27c64c29733013eb4c363b5c7ab13b8_1786"
"group_3116","","O-acetylserine/cysteine exporter","4","4","1","2","499","","","","899","899","899","LOCUS_00320","f76cef297a7dedb9150c88bc61db4d5a_437","d0dc75faf82af35216c4087e568ab6aa_2573","e27c64c29733013eb4c363b5c7ab13b8_1698"
"group_3117","","PTS glucose transporter subunit IIBC","4","4","1","3","152","","","","1580","1580","1580","LOCUS_46070","f76cef297a7dedb9150c88bc61db4d5a_1924","d0dc75faf82af35216c4087e568ab6aa_4865","e27c64c29733013eb4c363b5c7ab13b8_152"
"rhtA","","threonine/homoserine exporter RhtA","4","4","1","5","91","","","","887","887","887","LOCUS_06620","f76cef297a7dedb9150c88bc61db4d5a_1050","d0dc75faf82af35216c4087e568ab6aa_667","e27c64c29733013eb4c363b5c7ab13b8_487"
"hemF","","oxygen-dependent coproporphyrinogen-III oxidase","4","4","1","8","145","","","","902","902","902","LOCUS_09000","f76cef297a7dedb9150c88bc61db4d5a_3087","d0dc75faf82af35216c4087e568ab6aa_1552","e27c64c29733013eb4c363b5c7ab13b8_1871"
"bioB","","biotin synthase","4","4","1","5","53","","","","1040","1040","1040","LOCUS_07000","f76cef297a7dedb9150c88bc61db4d5a_1012","d0dc75faf82af35216c4087e568ab6aa_705","e27c64c29733013eb4c363b5c7ab13b8_525"
"group_3121","","aldehyde dehydrogenase","4","4","1","14","47","","","","1538","1538","1538","LOCUS_18230","f76cef297a7dedb9150c88bc61db4d5a_3349","d0dc75faf82af35216c4087e568ab6aa_211","e27c64c29733013eb4c363b5c7ab13b8_2124"
"group_3122","","2-deoxyglucose-6-phosphatase","4","4","1","2","329","","","","668","668","668","LOCUS_01830","f76cef297a7dedb9150c88bc61db4d5a_284","d0dc75faf82af35216c4087e568ab6aa_90","e27c64c29733013eb4c363b5c7ab13b8_619"
"mglB","","galactose ABC transporter substrate-binding protein","4","4","1","9","158","","","","998","998","998","LOCUS_33740","f76cef297a7dedb9150c88bc61db4d5a_1421","d0dc75faf82af35216c4087e568ab6aa_529","e27c64c29733013eb4c363b5c7ab13b8_2416"
"engA","","GTPase Der","4","4","1","16","99","","","","1472","1472","1472","LOCUS_12950","f76cef297a7dedb9150c88bc61db4d5a_3201","d0dc75faf82af35216c4087e568ab6aa_1964","e27c64c29733013eb4c363b5c7ab13b8_2185"
"yjhC","","putative oxidoreductase YjhC","4","4","1","6","29","","","","1118","1118","1118","LOCUS_34060","f76cef297a7dedb9150c88bc61db4d5a_3975","d0dc75faf82af35216c4087e568ab6aa_2747","e27c64c29733013eb4c363b5c7ab13b8_4509"
"group_3126","","pseudouridine synthase","4","4","1","1","446","","","","875","875","875","LOCUS_36520","f76cef297a7dedb9150c88bc61db4d5a_3125","d0dc75faf82af35216c4087e568ab6aa_444","e27c64c29733013eb4c363b5c7ab13b8_1221"
"group_3127","","hypothetical protein","4","4","1","31","28","","","","302","302","302","LOCUS_38220","f76cef297a7dedb9150c88bc61db4d5a_4484","d0dc75faf82af35216c4087e568ab6aa_3964","e27c64c29733013eb4c363b5c7ab13b8_4429"
"proX","","glycine betaine ABC transporter substrate-binding protein","4","4","1","3","311","","","","992","992","992","LOCUS_30210","f76cef297a7dedb9150c88bc61db4d5a_588","d0dc75faf82af35216c4087e568ab6aa_3905","e27c64c29733013eb4c363b5c7ab13b8_318"
"skp","","chaperone protein Skp","4","4","1","19","39","","","","485","485","485","LOCUS_11980","f76cef297a7dedb9150c88bc61db4d5a_3601","d0dc75faf82af35216c4087e568ab6aa_1652","e27c64c29733013eb4c363b5c7ab13b8_2896"
"group_3130","","hybrid-cluster NAD(P)-dependent oxidoreductase","4","4","1","5","194","","","","968","968","968","LOCUS_14070","f76cef297a7dedb9150c88bc61db4d5a_1153","d0dc75faf82af35216c4087e568ab6aa_890","e27c64c29733013eb4c363b5c7ab13b8_384"
"queE","","7-carboxy-7-deazaguanine synthase","4","4","1","3","219","","","","671","671","671","LOCUS_08100","f76cef297a7dedb9150c88bc61db4d5a_684","d0dc75faf82af35216c4087e568ab6aa_2518","e27c64c29733013eb4c363b5c7ab13b8_222"
"group_3132","","quinone oxidoreductase","4","4","1","6","205","","","","983","983","983","LOCUS_15700","f76cef297a7dedb9150c88bc61db4d5a_1693","d0dc75faf82af35216c4087e568ab6aa_3285","e27c64c29733013eb4c363b5c7ab13b8_894"
"group_3133","","L,D-transpeptidase","4","4","1","1","10","","","","1847","1847","1847","LOCUS_44210","f76cef297a7dedb9150c88bc61db4d5a_3007","d0dc75faf82af35216c4087e568ab6aa_4155","e27c64c29733013eb4c363b5c7ab13b8_2575"
"damX","","cell division protein DamX","4","4","1","15","64","","","","1286","1286","1286","LOCUS_26900","f76cef297a7dedb9150c88bc61db4d5a_2737","d0dc75faf82af35216c4087e568ab6aa_1726","e27c64c29733013eb4c363b5c7ab13b8_2631"
"group_3135","","thiol:disulfide interchange protein DsbC","4","4","1","3","75","","","","710","710","710","LOCUS_30720","f76cef297a7dedb9150c88bc61db4d5a_2003","d0dc75faf82af35216c4087e568ab6aa_608","e27c64c29733013eb4c363b5c7ab13b8_73"
